loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
30000, 36 months,22.35,1151.16,D,D5,5 years,MORTGAGE,100000.0,Source Verified,Dec-2018,Fully Paid,debt_consolidation,30.46,Jan-2012,11,1,15603,37.0,19,w,Joint App,1,1
40000, 60 months,16.14,975.71,C,C4,< 1 year,MORTGAGE,45000.0,Verified,Dec-2018,Fully Paid,credit_card,50.53,Jun-2009,18,0,34971,64.5,37,w,Joint App,1,0
20000, 36 months,7.56,622.68,A,A3,10+ years,MORTGAGE,100000.0,Not Verified,Dec-2018,Fully Paid,credit_card,18.92,Feb-1999,9,0,25416,29.9,19,w,Joint App,5,0
4500, 36 months,11.31,147.99,B,B3,10+ years,RENT,38500.0,Not Verified,Dec-2018,Fully Paid,credit_card,4.64,Dec-2003,12,0,4472,15.3,25,w,Individual,0,0
8425, 36 months,27.27,345.18,E,E5,3 years,MORTGAGE,450000.0,Verified,Dec-2018,Fully Paid,credit_card,12.37,Oct-1997,21,0,36812,65.7,37,w,Joint App,4,0
20000, 60 months,17.97,507.55,D,D1,4 years,RENT,57000.0,Not Verified,Dec-2018,Fully Paid,debt_consolidation,22.18,Apr-1995,10,0,33356,45.9,16,w,Individual,1,0
6600, 36 months,11.31,217.05,B,B3,10+ years,RENT,45000.0,Not Verified,Dec-2018,Fully Paid,credit_card,16.21,Apr-2009,6,0,6167,58.2,13,f,Individual,0,0
2500, 36 months,13.56,84.92,C,C1,5 years,RENT,42000.0,Not Verified,Dec-2018,Fully Paid,other,15.09,Mar-2004,3,0,3319,31.6,6,f,Individual,0,0
4000, 36 months,17.97,144.55,D,D1,5 years,MORTGAGE,60000.0,Source Verified,Dec-2018,Fully Paid,house,19.1,Jun-2007,11,0,382,7.3,18,w,Individual,2,0
2700, 36 months,8.19,84.85,A,A4,4 years,OWN,24000.0,Not Verified,Dec-2018,Fully Paid,credit_card,24.95,Oct-2002,21,1,2696,36.4,28,f,Individual,0,1
1000, 36 months,23.4,38.92,E,E1,3 years,RENT,60000.0,Source Verified,Dec-2018,Fully Paid,debt_consolidation,20.78,Sep-2007,4,0,13326,72.8,38,f,Individual,0,0
15000, 36 months,7.56,467.01,A,A3,10+ years,MORTGAGE,200000.0,Not Verified,Dec-2018,Fully Paid,house,2.62,Feb-2006,7,0,19386,39.2,45,w,Individual,3,0
8000, 36 months,7.56,249.08,A,A3,10+ years,MORTGAGE,250000.0,Not Verified,Dec-2018,Fully Paid,other,20.1,Jan-1987,17,0,133414,61.2,29,w,Individual,4,0
