loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,annual_inc,verification_status,loan_status,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,mort_acc_missing,credit_history_years,issue_years,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,initial_list_status_w,application_type_Joint App,emp_length_unknown
5000,0,11.53,164.96,1,9,10.0,21000.0,1,0,0.21166608452672023,28.17,9.0,2.0,19947,55.7,27.0,0.0,1.0,0,40.668035592060235,3.5017111567419574,False,True,False,True,False,1
30375,0,13.49,1030.64,2,11,10.0,108000.0,1,0,0.21166608452672023,9.7,8.0,2.0,8959,48.7,14.0,2.0,0.0,0,11.668720054757015,2.4996577686516086,False,True,False,True,False,0
13250,0,18.75,484.02,3,17,10.0,50000.0,2,0,0.16351606805293006,8.45,7.0,0.0,8854,53.0,19.0,2.0,0.0,0,26.748802190280628,5.582477754962355,True,False,False,False,False,0
7000,0,7.07,216.37,0,1,10.0,50000.0,0,0,0.16351606805293006,21.82,12.0,0.0,7258,31.8,28.0,1.0,0.0,0,13.330595482546201,1.4154688569472964,True,False,False,True,False,0
5000,0,7.29,155.05,0,3,10.0,60000.0,0,0,0.1796875,15.84,7.0,0.0,3872,32.8,22.0,1.0,0.0,1,19.99726214921287,7.997262149212868,False,True,False,False,False,0
12000,0,10.99,392.81,1,8,2.0,65000.0,2,0,0.21166608452672023,9.42,17.0,2.0,10197,47.2,48.0,0.0,0.0,0,15.082819986310746,2.329911019849418,False,False,True,True,False,0
19700,0,13.67,670.15,2,12,10.0,40000.0,2,0,0.21166608452672023,33.45,8.0,0.0,17189,44.8,21.0,0.0,0.0,0,17.9958932238193,2.833675564681725,False,True,False,True,False,0
25000,0,11.67,826.43,1,8,5.0,64000.0,2,0,0.2225705329153605,10.22,6.0,1.0,15674,49.9,22.0,0.0,1.0,0,21.3305954825462,4.583162217659138,False,False,True,True,False,0
6000,0,14.99,207.97,2,13,0.0,32000.0,2,0,0.21166608452672023,28.69,8.0,0.0,5224,64.5,8.0,0.0,0.0,0,5.415468856947296,1.9110198494182067,False,False,True,False,False,0
16000,1,20.49,428.28,4,20,6.0,42000.0,1,0,0.21166608452672023,34.26,22.0,0.0,18333,56.9,33.0,0.0,0.0,0,20.082135523613964,5.9110198494182065,True,False,False,False,False,0
25000,0,6.24,763.28,0,1,10.0,65000.0,2,0,0.21166608452672023,24.06,21.0,0.0,49897,46.1,50.0,2.0,0.0,0,43.41683778234086,3.249828884325804,True,False,False,True,False,0
30000,1,9.93,636.38,1,6,10.0,130000.0,1,0,0.21166608452672023,10.81,9.0,0.0,12656,58.1,23.0,0.0,0.0,0,15.331964407939767,1.2484599589322383,False,True,False,True,False,0
8000,0,11.53,263.93,1,9,8.0,62000.0,0,0,0.21166608452672023,8.85,7.0,0.0,6136,91.6,20.0,1.0,0.0,0,19.416837782340863,3.8357289527720737,False,False,True,False,False,0
30900,0,16.24,1090.02,2,14,10.0,82000.0,2,0,0.2,27.85,19.0,0.0,14046,57.6,47.0,4.0,0.0,0,24.996577686516083,4.91170431211499,True,False,False,False,False,0
20000,0,11.53,659.81,1,9,1.0,92500.0,2,0,0.16351606805293006,11.4,12.0,0.0,19158,41.4,13.0,0.0,0.0,0,6.997946611909651,3.583846680355921,False,False,True,True,False,0
15000,1,16.29,367.09,3,16,4.0,62000.0,1,0,0.21166608452672023,24.31,20.0,0.0,20692,56.4,37.0,1.0,0.0,0,20.164271047227928,4.583162217659138,True,False,False,False,False,0
