loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
5000, 36 months,11.53,164.96,B,B5,,OWN,21000.0,Verified,Jul-2015,Fully Paid,debt_consolidation,28.17,May-1978,9.0,2.0,19947,55.7,27.0,w,Individual,0.0,1.0
30375, 36 months,13.49,1030.64,C,C2,10+ years,OWN,108000.0,Verified,Jul-2016,Fully Paid,debt_consolidation,9.7,May-2007,8.0,2.0,8959,48.7,14.0,w,Individual,2.0,0.0
13250, 36 months,18.75,484.02,D,D3,10+ years,MORTGAGE,50000.0,Source Verified,Jun-2013,Fully Paid,credit_card,8.45,Apr-1992,7.0,0.0,8854,53.0,19.0,f,Individual,2.0,0.0
7000, 36 months,7.07,216.37,A,A2,10+ years,MORTGAGE,50000.0,Not Verified,Aug-2017,Fully Paid,credit_card,21.82,Sep-2005,12.0,0.0,7258,31.8,28.0,w,Individual,1.0,0.0
5000, 36 months,7.29,155.05,A,A4,10+ years,OWN,60000.0,Not Verified,Jan-2011,Fully Paid,major_purchase,15.84,Jan-1999,7.0,0.0,3872,32.8,22.0,f,Individual,,0.0
12000, 36 months,10.99,392.81,B,B4,2 years,RENT,65000.0,Source Verified,Sep-2016,Fully Paid,debt_consolidation,9.42,Dec-2003,17.0,2.0,10197,47.2,48.0,w,Individual,0.0,0.0
19700, 36 months,13.67,670.15,C,C3,10+ years,OWN,40000.0,Source Verified,Mar-2016,Fully Paid,debt_consolidation,33.45,Jan-2001,8.0,0.0,17189,44.8,21.0,w,Individual,0.0,0.0
25000, 36 months,11.67,826.43,B,B4,5 years,RENT,64000.0,Source Verified,Jun-2014,Fully Paid,other,10.22,Sep-1997,6.0,1.0,15674,49.9,22.0,w,Individual,0.0,1.0
6000, 36 months,14.99,207.97,C,C4,< 1 year,RENT,32000.0,Source Verified,Feb-2017,Fully Paid,debt_consolidation,28.69,Aug-2013,8.0,0.0,5224,64.5,8.0,f,Individual,0.0,0.0
16000, 60 months,20.49,428.28,E,E1,6 years,MORTGAGE,42000.0,Verified,Feb-2013,Fully Paid,debt_consolidation,34.26,Dec-1998,22.0,0.0,18333,56.9,33.0,f,Individual,0.0,0.0
25000, 36 months,6.24,763.28,A,A2,10+ years,MORTGAGE,65000.0,Source Verified,Oct-2015,Fully Paid,debt_consolidation,24.06,Aug-1975,21.0,0.0,49897,46.1,50.0,w,Individual,2.0,0.0
30000, 60 months,9.93,636.38,B,B2,10+ years,OWN,130000.0,Verified,Oct-2017,Fully Paid,debt_consolidation,10.81,Sep-2003,9.0,0.0,12656,58.1,23.0,w,Individual,0.0,0.0
8000, 36 months,11.53,263.93,B,B5,8 years,RENT,62000.0,Not Verified,Mar-2015,Fully Paid,debt_consolidation,8.85,Aug-1999,7.0,0.0,6136,91.6,20.0,f,Individual,1.0,0.0
