emp_length,term,grade,sub_grade,verification_status,mort_acc,purpose,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,initial_list_status_w,application_type_Joint App,loan_amnt,int_rate,installment,annual_inc,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,mort_acc_missing,emp_length_missing,credit_history_years,issue_years,loan_status
1.0,0.0,1.0,9.0,1.0,1.0,0.20956079697077099,0.0,0.0,1.0,0.0,0.0,7500.0,11.99,249.08,42000.0,7.14,19.0,0.0,3390.0,41.3,49.0,0.0,0.0,0.0,17.163586584531142,4.164271047227926,
2.0,0.0,3.0,15.0,2.0,2.0,0.20956079697077099,1.0,0.0,0.0,0.0,0.0,35000.0,15.41,1220.33,90000.0,21.99,12.0,0.0,32754.0,70.4,24.0,0.0,0.0,0.0,23.082819986310746,3.164955509924709,0.0
3.0,0.0,1.0,5.0,0.0,0.0,0.20956079697077099,0.0,0.0,1.0,1.0,0.0,7000.0,9.17,223.16,45000.0,20.82,13.0,0.0,5221.0,23.9,22.0,0.0,0.0,0.0,12.41615331964408,4.41615331964408,0.0
10.0,1.0,4.0,21.0,1.0,0.0,0.20956079697077099,0.0,0.0,1.0,0.0,0.0,14600.0,21.15,396.22,43743.18,12.59,6.0,2.0,4733.0,59.9,7.0,1.0,0.0,0.0,12.331279945242985,5.415468856947296,0.0
8.0,0.0,0.0,1.0,0.0,1.0,0.20956079697077099,1.0,0.0,0.0,1.0,0.0,2500.0,6.49,76.62,65000.0,8.84,8.0,0.0,8212.0,24.2,19.0,0.0,0.0,0.0,15.249828884325805,3.082819986310746,0.0
10.0,0.0,2.0,11.0,0.0,4.0,0.17142454549868447,0.0,0.0,1.0,0.0,0.0,8875.0,13.35,300.54,65000.0,11.48,11.0,1.0,7982.0,55.0,43.0,1.0,0.0,0.0,22.0807665982204,4.331279945242985,0.0
10.0,0.0,1.0,7.0,2.0,5.0,0.20956079697077099,0.0,0.0,1.0,0.0,0.0,25000.0,9.99,806.57,148000.0,9.72,6.0,0.0,20174.0,67.7,23.0,0.0,0.0,0.0,18.91307323750856,3.668720054757016,0.0
10.0,0.0,3.0,18.0,1.0,2.0,0.20956079697077099,0.0,1.0,0.0,1.0,0.0,2500.0,17.57,89.85,16560.0,26.88,7.0,1.0,10179.0,61.0,20.0,0.0,0.0,1.0,31.249828884325805,3.501711156741957,1.0
10.0,0.0,0.0,3.0,1.0,4.0,0.20956079697077099,1.0,0.0,0.0,1.0,0.0,26225.0,7.9,820.59,96000.0,11.34,5.0,0.0,26039.0,67.8,38.0,0.0,0.0,0.0,31.91238877481177,5.500342231348392,0.0
10.0,0.0,0.0,4.0,1.0,1.0,0.17142454549868447,1.0,0.0,0.0,0.0,0.0,9600.0,8.9,304.84,54000.0,12.91,9.0,1.0,21915.0,65.2,16.0,1.0,0.0,0.0,28.082135523613964,5.582477754962355,0.0
9.0,0.0,1.0,6.0,0.0,0.0,0.20956079697077099,0.0,0.0,1.0,0.0,0.0,10000.0,9.16,318.75,75000.0,20.24,13.0,0.0,11580.0,24.8,23.0,0.0,0.0,0.0,10.99794661190965,2.6666666666666665,0.0
10.0,0.0,3.0,17.0,1.0,4.0,0.20956079697077099,1.0,0.0,0.0,0.0,0.0,35000.0,16.99,1247.68,95000.0,16.6,17.0,0.0,36286.0,50.6,32.0,0.0,0.0,0.0,47.66872005475702,4.501026694045175,0.0
3.0,0.0,2.0,12.0,0.0,1.0,0.19611358478331362,0.0,0.0,1.0,1.0,0.0,6000.0,13.99,205.04,60000.0,33.92,6.0,0.0,216.0,4.3,16.0,0.0,0.0,0.0,19.416837782340863,2.2477754962354557,
2.0,1.0,2.0,11.0,0.0,2.0,0.17142454549868447,1.0,0.0,0.0,1.0,0.0,16000.0,12.88,363.07,75000.0,14.7,10.0,1.0,8224.0,31.8,30.0,1.0,0.0,0.0,35.331964407939765,2.9979466119096507,
10.0,0.0,0.0,4.0,1.0,3.0,0.16612302281343944,1.0,0.0,0.0,1.0,0.0,10000.0,7.89,312.86,58000.0,15.64,13.0,0.0,7015.0,41.3,28.0,0.0,0.0,1.0,25.163586584531146,3.164955509924709,0.0
10.0,0.0,0.0,0.0,0.0,4.0,0.23012062990948087,1.0,0.0,0.0,1.0,0.0,1500.0,5.31,45.17,115000.0,11.52,20.0,0.0,79024.0,0.8,49.0,0.0,0.0,0.0,31.58384668035592,0.5831622176591376,0.0
10.0,0.0,1.0,8.0,2.0,1.0,0.21991341629407252,0.0,1.0,0.0,1.0,0.0,3000.0,10.64,97.71,40000.0,16.62,8.0,0.0,12673.0,69.6,17.0,0.0,0.0,0.0,53.91101984941821,3.082819986310746,
3.0,0.0,2.0,14.0,0.0,0.0,0.20956079697077099,0.0,0.0,1.0,0.0,0.0,4000.0,14.99,138.65,42500.0,19.85,12.0,1.0,3669.0,43.7,24.0,1.0,0.0,0.0,22.32991101984942,4.249144421629021,1.0
9.0,1.0,3.0,19.0,1.0,2.0,0.21991341629407252,1.0,0.0,0.0,1.0,0.0,15000.0,21.49,409.95,75000.0,15.33,15.0,0.0,19794.0,53.6,41.0,0.0,0.0,0.0,16.996577686516083,2.5817932922655715,0.0
8.0,1.0,4.0,24.0,1.0,0.0,0.17142454549868447,0.0,0.0,1.0,1.0,0.0,20400.0,24.99,598.65,68000.0,27.5,10.0,0.0,34690.0,88.7,16.0,0.0,0.0,0.0,13.3305954825462,2.6666666666666665,0.0
6.0,0.0,2.0,14.0,2.0,1.0,0.3078493094406608,0.0,1.0,0.0,0.0,0.0,24000.0,14.65,827.87,120000.0,17.17,28.0,1.0,13430.0,44.8,47.0,0.0,0.0,0.0,16.249144421629023,3.912388774811773,0.0
10.0,0.0,1.0,9.0,1.0,1.0,0.20956079697077099,1.0,0.0,0.0,0.0,0.0,19000.0,12.49,635.53,95000.0,15.59,13.0,0.0,17914.0,67.9,32.0,0.0,0.0,0.0,18.666666666666668,4.249144421629021,0.0
4.0,1.0,5.0,26.0,2.0,0.0,0.20956079697077099,1.0,0.0,0.0,0.0,0.0,21000.0,29.49,672.86,94000.0,19.62,7.0,0.0,18888.0,91.7,21.0,0.0,0.0,0.0,26.666666666666668,1.834360027378508,
10.0,0.0,1.0,8.0,2.0,0.0,0.16612302281343944,0.0,1.0,0.0,0.0,0.0,5000.0,10.78,163.18,48000.0,18.48,13.0,1.0,2463.0,2.7,29.0,1.0,0.0,0.0,19.835728952772072,2.9979466119096507,0.0
10.0,1.0,2.0,13.0,0.0,4.0,0.20956079697077099,1.0,0.0,0.0,1.0,0.0,24425.0,15.05,581.72,89000.0,21.2,22.0,0.0,19751.0,20.9,51.0,0.0,0.0,0.0,29.9958932238193,1.6673511293634498,1.0
10.0,0.0,2.0,12.0,2.0,2.0,0.20956079697077099,1.0,0.0,0.0,1.0,0.0,8000.0,13.67,272.15,132500.0,31.68,17.0,0.0,42873.0,77.1,30.0,0.0,0.0,0.0,29.163586584531146,2.833675564681725,
6.0,0.0,1.0,6.0,0.0,2.0,0.17142454549868447,0.0,0.0,1.0,1.0,0.0,20000.0,10.49,649.96,150000.0,21.74,12.0,0.0,31600.0,34.2,23.0,0.0,0.0,0.0,28.750171115674195,2.080766598220397,0.0
10.0,0.0,1.0,9.0,1.0,0.0,0.20956079697077099,0.0,0.0,1.0,1.0,0.0,11750.0,11.53,387.64,33600.0,16.39,8.0,0.0,21275.0,44.0,12.0,0.0,0.0,1.0,42.91307323750856,3.4168377823408624,
10.0,1.0,3.0,17.0,2.0,0.0,0.20956079697077099,1.0,0.0,0.0,1.0,0.0,20000.0,18.25,510.6,45000.0,23.2,8.0,0.0,6159.0,25.8,27.0,0.0,0.0,0.0,29.582477754962355,2.5817932922655715,0.0
10.0,0.0,0.0,2.0,0.0,5.0,0.20956079697077099,1.0,0.0,0.0,0.0,0.0,20000.0,6.72,614.99,90000.0,28.64,14.0,0.0,8839.0,9.9,37.0,0.0,0.0,0.0,21.3305954825462,1.163586584531143,0.0
8.0,1.0,3.0,19.0,2.0,4.0,0.17142454549868447,1.0,0.0,0.0,1.0,0.0,25250.0,17.86,639.27,135000.0,11.72,14.0,1.0,75370.0,57.4,22.0,0.0,0.0,0.0,26.833675564681723,4.164271047227926,
2.0,0.0,2.0,10.0,2.0,1.0,0.17142454549868447,0.0,1.0,0.0,1.0,0.0,4800.0,12.62,160.86,55000.0,23.94,12.0,0.0,5517.0,49.7,18.0,0.0,0.0,0.0,8.24914442162902,1.5003422313483916,0.0
10.0,0.0,2.0,13.0,2.0,2.0,0.16612302281343944,1.0,0.0,0.0,0.0,0.0,5000.0,15.61,174.83,80000.0,12.77,6.0,0.0,13228.0,97.3,31.0,0.0,0.0,0.0,20.082135523613964,5.08145106091718,
2.0,0.0,3.0,15.0,1.0,1.0,0.20956079697077099,1.0,0.0,0.0,0.0,0.0,7200.0,15.61,251.75,28000.0,39.43,7.0,1.0,5293.0,60.0,16.0,1.0,0.0,0.0,17.08145106091718,3.583846680355921,1.0
10.0,0.0,0.0,0.0,2.0,1.0,0.15266271061339243,1.0,0.0,0.0,1.0,0.0,5000.0,5.32,150.58,80000.0,10.85,9.0,0.0,2480.0,9.5,21.0,0.0,0.0,0.0,14.16290212183436,1.6673511293634498,1.0
10.0,0.0,1.0,9.0,0.0,6.0,0.20956079697077099,1.0,0.0,0.0,1.0,0.0,20000.0,11.49,659.43,95000.0,20.17,17.0,0.0,13978.0,26.0,36.0,0.0,0.0,0.0,28.996577686516083,1.834360027378508,1.0
