feature,importance_mean,importance_std
open_acc,0.015599999999999958,0.00793977329651164
dti,0.005799999999999972,0.00918477000256399
emp_length,0.004399999999999971,0.008845337754998359
credit_history_years,0.00239999999999998,0.011926441212700437
purpose,0.0020000000000000018,0.005291502622129186
revol_util,0.0014000000000000013,0.008627861844049204
home_ownership_OWN,0.001200000000000001,0.001326649916142161
pub_rec,0.0008000000000000007,0.001326649916142161
mort_acc_missing,-0.00020000000000000017,0.0006000000000000006
application_type_Joint App,-0.00040000000000000034,0.0008000000000000006
verification_status,-0.0010000000000000009,0.003714835124201345
issue_years,-0.001000000000000012,0.0078102496759066406
grade,-0.002200000000000002,0.0028913664589601948
sub_grade,-0.0026000000000000133,0.013024592124131946
initial_list_status_w,-0.0028000000000000026,0.004915282290977807
pub_rec_bankruptcies,-0.0036000000000000034,0.0017435595774162708
emp_length_unknown,-0.004600000000000004,0.0036932370625238804
loan_amnt,-0.004800000000000004,0.006144916598294891
mort_acc,-0.006200000000000006,0.006720119046564583
total_acc,-0.007400000000000006,0.008392854103342921
installment,-0.007800000000000007,0.010409610943738493
home_ownership_MORTGAGE,-0.008000000000000007,0.0029664793948382677
term,-0.008800000000000007,0.0067052218456960895
int_rate,-0.01040000000000001,0.006311893535223805
annual_inc,-0.012200000000000011,0.007871467461661777
revol_bal,-0.014600000000000012,0.006452906321960678
home_ownership_RENT,-0.015400000000000014,0.004294182110716781
