feature,shap_importance
sub_grade,0.3610011
int_rate,0.2182588
issue_years,0.19468138
revol_util,0.1946775
mort_acc,0.1936292
open_acc,0.18768647
dti,0.17377074
installment,0.1575327
revol_bal,0.14470951
credit_history_years,0.14185584
annual_inc,0.13946539
loan_amnt,0.13741827
term,0.107911915
total_acc,0.10721322
emp_length,0.087279975
home_ownership_RENT,0.0740969
purpose,0.06696099
emp_length_unknown,0.063250534
home_ownership_MORTGAGE,0.053141385
initial_list_status_w,0.04470488
verification_status,0.03799122
grade,0.030460956
pub_rec_bankruptcies,0.025510296
home_ownership_OWN,0.01403321
pub_rec,0.013887932
mort_acc_missing,0.0017023899
application_type_Joint App,0.0013796898
