feature,shap_importance
sub_grade,0.4846677412800871
open_acc,0.20305861290834784
int_rate,0.20085067218318248
revol_util,0.1742530155879616
loan_amnt,0.1731313451632055
mort_acc,0.1725579903275623
credit_history_years,0.16085286810343277
issue_years,0.14847716533779048
installment,0.14766044326076835
annual_inc,0.14017066035442133
dti,0.13277404475654142
term,0.11002173549386715
revol_bal,0.09481052138211195
total_acc,0.09176547948144617
emp_length,0.08067323252682625
home_ownership_MORTGAGE,0.07942524240472493
purpose,0.05373159665737385
home_ownership_RENT,0.05206304728117875
initial_list_status_w,0.040234411519325955
emp_length_unknown,0.03913556172133191
verification_status,0.027930653308121275
grade,0.012816920242104514
mort_acc_missing,0.011398549809745091
pub_rec,0.011375495565476412
home_ownership_OWN,0.010443688011978352
pub_rec_bankruptcies,0.008608642999607957
application_type_Joint App,0.0015985853409475573
